,Volcano Name,material,PetDB Major Rock 1,PetDB Major Rock 2,PetDB Major Rock 3,PetDB Major Rock 4,PetDB Major Rock 5,cnt 1,cnt 2,cnt 3,cnt 4,cnt 5
113,Silali,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
114,Diamond Craters,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
115,Diamond Craters,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
116,Diamond Craters,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
117,Menengai,WR,TRACHYTE/TRACHYDACITE,No Data,No Data,No Data,No Data,40,0,0,0,0
118,Menengai,GL,TRACHYTE/TRACHYDACITE,No Data,No Data,No Data,No Data,6,0,0,0,0
119,Menengai,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
120,Namarunu,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
121,Namarunu,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
122,Namarunu,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
123,Paka,WR,TRACHYANDESITE,PHONOLITE,TRACHYTE/TRACHYDACITE,No Data,No Data,2,1,1,0,0
124,Paka,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
125,Paka,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
126,West Eifel Volcanic Field,WR,PICROBASALT,FOIDITE,No Data,No Data,No Data,12,9,0,0,0
127,West Eifel Volcanic Field,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
128,West Eifel Volcanic Field,INC,BASALT,No Data,No Data,No Data,No Data,1,0,0,0,0
