,LATITUDE,LONGITUDE,SIO2,NA2O,K2O,CAO,FEO,MGO,MATERIAL,SAMPLE ID
10503,53.67,-166.67,63.4,4.5,4.1,3.4,2.3,1.6,WR,PETDB-2572-54-SN-81
1927,-0.466,30.1833,36.37,2.02,4.12,16.45,,13.21,WR,PETDB-2696-11513
1929,43.0004,-117.222,49.34,3.26,1.24,9.41,9.96,7.4,WR,PETDB 2699-JV-2
1943,20.4214,121.96,,,2.18,11.42,,,WR,PETDB-2705-001A
1944,20.4214,121.96,,,0.29,0.24,,,WR,PETDB-2705-003C/2
1945,20.4214,121.96,,,0.16,0.2,,,WR,PETDB-2705-003C/3
1946,20.4214,121.96,,,0.12,0.2,,,WR,PETDB-2705-003C/5
1947,20.4214,121.96,,,0.12,1.28,,,WR,PETDB-2705-003F
1948,20.4214,121.96,,,2.12,7.74,,,WR,PETDB-2705-007
1949,20.4214,121.96,,,0.16,1.56,,,WR,PETDB-2705-007A
1950,20.4214,121.96,,,2.06,12.63,,,WR,PETDB-2705-086
1951,20.4214,121.96,,,0.01,1.33,,,WR,PETDB-2705-111
10583,20.4214,121.96,,,2.24,8.3,,,WR,PETDB-2705-001
10584,20.4214,121.96,,,0.2,18.4,,,WR,PETDB-2705-001B
10585,20.4214,121.96,,,2.27,8.21,,,WR,PETDB-2705-003
10586,20.4214,121.96,,,0.48,0.45,,,WR,PETDB-2705-003C/1
10587,20.4214,121.96,,,0.13,0.23,,,WR,PETDB-2705-003C/4
10588,20.4214,121.96,,,0.21,0.23,,,WR,PETDB-2705-003C/6
10589,20.4214,121.96,,,2.23,9.23,,,WR,PETDB-2705-046
10590,20.4214,121.96,,,0.11,0.69,,,WR,PETDB-2705-046B
10591,20.4214,121.96,,,1.11,11.22,,,WR,PETDB-2705-080
1952,-35.1032,-69.707,50.7,3.41,1.18,9.38,,7.72,WR,PETDB-2707-126009
1973,13.5,46.0,42.96,,,2.37,,42.54,WR,PETDB-2718-BA04
1974,13.5,46.0,39.15,,0.01,0.23,,50.04,WR,PETDB-2718-BA05
1975,13.5,46.0,42.55,,,0.75,,45.6,WR,PETDB-2718-BA12A
1976,13.5,46.0,41.77,,,1.74,,44.83,WR,PETDB-2718-BA20
1977,13.5,46.0,48.27,,,1.79,,36.57,WR,PETDB-2718-BA27
1978,13.5,46.0,45.53,0.02,,2.22,,40.46,WR,PETDB-2718-BA29
1979,13.5,46.0,38.7,0.02,0.04,0.92,,46.38,WR,PETDB-2718-BA33
1980,13.5,46.0,41.0,,,1.04,,47.4,WR,PETDB-2718-BA36
1981,13.5,46.0,41.39,0.03,0.01,2.44,,42.41,WR,PETDB-2718-BA38
1982,13.5,46.0,41.05,0.04,,2.85,,41.79,WR,PETDB-2718-BA43
1983,13.5,46.0,51.76,0.73,0.05,15.99,,17.96,WR,PETDB-2718-BA54
10609,13.5,46.0,42.71,0.01,0.02,1.19,,45.49,WR,PETDB-2718-BA01
10610,13.5,46.0,42.19,,,0.78,,47.12,WR,PETDB-2718-BA03
10611,13.5,46.0,39.72,,0.01,0.79,,48.77,WR,PETDB-2718-BA08
10612,13.5,46.0,41.44,,,1.21,,45.2,WR,PETDB-2718-BA09
10613,13.5,46.0,42.48,,,0.81,,45.59,WR,PETDB-2718-BA12B
10614,13.5,46.0,42.09,,,0.43,,47.69,WR,PETDB-2718-BA16
