,Volcano Name,material,PetDB Major Rock 1,PetDB Major Rock 2,PetDB Major Rock 3,PetDB Major Rock 4,PetDB Major Rock 5,cnt 1,cnt 2,cnt 3,cnt 4,cnt 5
207,Akademia Nauk,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
208,Akademia Nauk,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
209,Akademia Nauk,INC,BASALTIC ANDESITE,No Data,No Data,No Data,No Data,2,0,0,0,0
210,Makushin,WR,ANDESITE,BASALTIC ANDESITE,BASALT,No Data,No Data,26,18,8,0,0
211,Makushin,GL,DACITE,ANDESITE,BASALTIC ANDESITE,No Data,No Data,30,17,8,0,0
212,Makushin,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
213,Seguam,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
214,Seguam,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
215,Seguam,INC,BASALT,No Data,No Data,No Data,No Data,1,0,0,0,0
216,Westdahl,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
217,Westdahl,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
218,Westdahl,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
219,Izu-Tobu,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
220,Izu-Tobu,GL,RHYOLITE,No Data,No Data,No Data,No Data,1,0,0,0,0
221,Izu-Tobu,INC,BASALT,No Data,No Data,No Data,No Data,9,0,0,0,0
222,Lonquimay,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
223,Lonquimay,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
224,Lonquimay,INC,BASALTIC ANDESITE,No Data,No Data,No Data,No Data,2,0,0,0,0
225,Tupungatito,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
226,Tupungatito,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
227,Tupungatito,INC,TRACHYANDESITE,No Data,No Data,No Data,No Data,1,0,0,0,0
228,Galunggung,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
229,Galunggung,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
230,Galunggung,INC,BASALT,No Data,No Data,No Data,No Data,1,0,0,0,0
231,Chachadake [Tiatia],WR,ANDESITE,No Data,No Data,No Data,No Data,3,0,0,0,0
232,Chachadake [Tiatia],GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
233,Chachadake [Tiatia],INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
234,Mahawu,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
235,Mahawu,GL,RHYOLITE,No Data,No Data,No Data,No Data,1,0,0,0,0
236,Mahawu,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
237,Irazu,WR,BASALTIC TRACHYANDESITE,BASALT,TRACHYBASALT,No Data,No Data,6,4,3,0,0
238,Irazu,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
239,Irazu,INC,TRACHYANDESITE,BASALT,TRACHYTE/TRACHYDACITE,No Data,No Data,1,1,1,0,0
240,Trident,WR,ANDESITE,DACITE,BASALTIC ANDESITE,No Data,No Data,31,11,10,0,0
241,Trident,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
242,Trident,INC,RHYOLITE,No Data,No Data,No Data,No Data,1,0,0,0,0
243,Kolokol Group,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
244,Kolokol Group,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
245,Kolokol Group,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
246,Acatenango,WR,BASALTIC ANDESITE,No Data,No Data,No Data,No Data,9,0,0,0,0
247,Acatenango,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
248,Acatenango,INC,BASALTIC ANDESITE,BASALTIC TRACHYANDESITE,BASALT,TRACHYANDESITE,No Data,15,10,9,9,0
249,Arenal,WR,BASALT,No Data,No Data,No Data,No Data,2,0,0,0,0
250,Arenal,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
251,Arenal,INC,BASALTIC ANDESITE,DACITE,ANDESITE,No Data,No Data,3,1,1,0,0
252,"Azul, Cerro-Central Chile and Argentina",WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
253,"Azul, Cerro-Central Chile and Argentina",GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
254,"Azul, Cerro-Central Chile and Argentina",INC,BASALTIC ANDESITE,No Data,No Data,No Data,No Data,2,0,0,0,0
255,Izalco,WR,BASALT,No Data,No Data,No Data,No Data,20,0,0,0,0
256,Izalco,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
257,Izalco,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
258,"Pilas, Las",WR,BASALT,PICROBASALT,No Data,No Data,No Data,6,2,0,0,0
259,"Pilas, Las",GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
260,"Pilas, Las",INC,BASALTIC ANDESITE,BASALT,TEPHRI-PHONOLITE,No Data,No Data,19,7,5,0,0
261,Maly Semyachik,WR,BASALTIC ANDESITE,No Data,No Data,No Data,No Data,2,0,0,0,0
262,Maly Semyachik,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
263,Maly Semyachik,INC,ANDESITE,BASALTIC ANDESITE,No Data,No Data,No Data,1,1,0,0,0
264,Santorini,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
265,Santorini,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
266,Santorini,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
267,Miravalles,WR,BASALTIC ANDESITE,BASALT,ANDESITE,No Data,No Data,13,9,3,0,0
268,Miravalles,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
269,Miravalles,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
270,Michoacan-Guanajuato,WR,BASALTIC ANDESITE,ANDESITE,No Data,No Data,No Data,1,1,0,0,0
271,Michoacan-Guanajuato,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
272,Michoacan-Guanajuato,INC,BASALTIC ANDESITE,BASALTIC TRACHYANDESITE,BASALT,No Data,No Data,13,5,4,0,0
273,Perbakti-Gagak,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
274,Perbakti-Gagak,GL,RHYOLITE,No Data,No Data,No Data,No Data,1,0,0,0,0
275,Perbakti-Gagak,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
276,Nemo Peak,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
277,Nemo Peak,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
278,Nemo Peak,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
279,Mocho-Choshuenco,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
280,Mocho-Choshuenco,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
281,Mocho-Choshuenco,INC,BASALT,BASALTIC ANDESITE,No Data,No Data,No Data,1,1,0,0,0
282,Stromboli,WR,BASALT,BASALTIC ANDESITE,No Data,No Data,No Data,1,1,0,0,0
283,Stromboli,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
284,Stromboli,INC,BASALT,BASALTIC ANDESITE,No Data,No Data,No Data,4,2,0,0,0
285,Etorofu-Atosanupuri [Atosanupuri],WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
286,Etorofu-Atosanupuri [Atosanupuri],GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
287,Etorofu-Atosanupuri [Atosanupuri],INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
288,Zheltovsky,WR,BASALT,No Data,No Data,No Data,No Data,1,0,0,0,0
289,Zheltovsky,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
290,Zheltovsky,INC,BASALTIC ANDESITE,No Data,No Data,No Data,No Data,1,0,0,0,0
291,Kronotsky,WR,BASALTIC ANDESITE,No Data,No Data,No Data,No Data,1,0,0,0,0
292,Kronotsky,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
293,Kronotsky,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
294,Santa Maria,WR,BASALTIC ANDESITE,No Data,No Data,No Data,No Data,2,0,0,0,0
295,Santa Maria,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
296,Santa Maria,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
297,Sumbing,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
298,Sumbing,GL,RHYOLITE,No Data,No Data,No Data,No Data,1,0,0,0,0
299,Sumbing,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
300,Iwatesan,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
301,Iwatesan,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
302,Iwatesan,INC,BASALT,BASALTIC ANDESITE,No Data,No Data,No Data,4,2,0,0,0
303,San Salvador,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
304,San Salvador,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
305,San Salvador,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
306,Tinguiririca,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
307,Tinguiririca,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
308,Tinguiririca,INC,ANDESITE,No Data,No Data,No Data,No Data,1,0,0,0,0
309,Lassen Volcanic Center,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
310,Lassen Volcanic Center,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
311,Lassen Volcanic Center,INC,BASALT,RHYOLITE,No Data,No Data,No Data,2,1,0,0,0
312,Vesuvius,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
313,Vesuvius,GL,TEPHRITE/BASANITE,No Data,No Data,No Data,No Data,1,0,0,0,0
