,MATERIAL,ROCK,x,y
202,WR,ANDESITE,36.86967235370657,1.6527251536852128
203,WR,ANDESITE,37.64818076344047,1.654865088502878
204,WR,ANDESITE,38.60309119792552,1.8912401534467542
205,WR,ANDESITE,34.169814625061306,0.98699195849371
206,WR,ANDESITE,36.220133420046444,1.352715865011393
207,WR,ANDESITE,37.81579587954352,1.7388341543798242
208,WR,ANDESITE,38.4936071112323,2.0865838024558765
209,WR,ANDESITE,35.40630593029096,1.2917465460281976
210,WR,ANDESITE,38.86946927050692,1.9694484729121797
211,WR,ANDESITE,38.066466779067284,1.757153082530475
212,WR,ANDESITE,35.999652936803265,1.2559844025051292
213,WR,ANDESITE,35.8837941950685,1.2216417760872276
214,WR,ANDESITE,38.3849002092345,1.6740830806425133
215,WR,ANDESITE,39.23736531892461,1.9042004080598645
216,WR,ANDESITE,39.832547303421705,1.9668451167006569
217,WR,ANDESITE,38.63452759591719,2.1721293026115913
218,WR,ANDESITE,38.407599193615255,2.1135405321219443
219,WR,ANDESITE,36.16651340572289,1.81022716941368
220,WR,ANDESITE,36.68273039649756,1.9052982621459935
221,WR,ANDESITE,36.55852592349409,1.6446341281538226
222,WR,ANDESITE,39.15409581156108,2.118542681667916
223,WR,ANDESITE,39.49601212112883,1.998801968273904
224,WR,ANDESITE,38.8854913160838,2.0212370536149113
225,WR,ANDESITE,39.56214490490758,2.113947976316059
226,WR,ANDESITE,35.292614439255345,0.8238311232241944
227,WR,ANDESITE,38.52533118230711,1.8371125668982358
228,WR,ANDESITE,38.96932118942345,1.820059331229751
229,WR,ANDESITE,36.85645660497385,1.2693011676760486
230,WR,ANDESITE,35.9131826010651,1.1463290933073482
231,WR,ANDESITE,36.7606520464004,1.4630339105186585
232,WR,ANDESITE,36.12376508355395,1.2953355185912618
233,WR,ANDESITE,37.06610552695034,1.384631014438019
234,WR,ANDESITE,36.94092406352149,1.3048938693590433
235,WR,ANDESITE,38.70868535575641,1.6184268689437424
236,WR,ANDESITE,36.8799495711962,1.2915762929996981
237,WR,ANDESITE,37.6303076814731,1.5833770678780756
238,WR,ANDESITE,38.30280913517495,1.5857599662554407
239,WR,ANDESITE,38.37803458178156,1.7455093208860202
240,WR,ANDESITE,38.442815866728616,1.4957694099770058
241,WR,ANDESITE,35.746874665767365,1.278849008485715
242,WR,ANDESITE,35.97410767068348,1.4444964207792599
243,WR,ANDESITE,35.43746297437461,1.542402911622023
244,WR,ANDESITE,35.19444988578646,1.3279492733964275
245,WR,ANDESITE,39.143873636900594,1.614436412689428
246,WR,ANDESITE,37.61664576251182,1.4381417324838992
247,WR,ANDESITE,39.24500644012845,1.8300378422980268
248,WR,ANDESITE,37.78830308989368,1.7373932455123533
249,WR,ANDESITE,38.56146225121781,1.9996561336890588
250,WR,ANDESITE,36.66194402551319,1.0497391938413896
251,WR,ANDESITE,38.440256582733056,1.5410347850538866
252,WR,ANDESITE,36.215683312529315,1.1932424540285653
253,WR,ANDESITE,38.17465980345321,1.3351650469336904
254,WR,ANDESITE,39.53617492101152,1.428143461432457
255,WR,ANDESITE,36.481602014512646,0.9092964833870792
256,WR,ANDESITE,36.565584749113484,1.256628782227598
257,WR,ANDESITE,37.4562028904173,1.6500178757855677
258,WR,ANDESITE,36.64264134846679,1.2175438500972033
259,WR,ANDESITE,38.493578700447905,2.0339228374230474
260,WR,ANDESITE,36.89882459103699,1.455208521735883
261,WR,ANDESITE,38.9492030983749,2.0375840655085464
262,WR,ANDESITE,35.76792427866152,0.9031517667228421
263,WR,ANDESITE,35.05686839794325,0.6901575881474286
264,WR,ANDESITE,38.470651044847656,1.513157814984741
265,WR,ANDESITE,38.58668442793082,1.4656163576873869
266,WR,ANDESITE,38.666916154575745,1.6596255713212944
267,WR,ANDESITE,34.66713886415771,0.9465167769792225
268,WR,ANDESITE,37.07536651227051,1.5229039205415535
269,WR,ANDESITE,38.11069019444078,1.7122194145328467
270,WR,PICROBASALT,43.94757806603135,2.8565475183374893
271,WR,TRACHYBASALT,45.25364138623808,5.113008538422904
272,WR,TEPHRITE/BASANITE,43.670240176216794,3.799169436894381
273,WR,TEPHRITE/BASANITE,44.35736360514675,3.4136586745308746
274,WR,TRACHYBASALT,46.25112172379291,5.116091965878966
275,WR,TEPHRITE/BASANITE,44.0336609287026,4.459871248965754
